1 sink_xan_c|Intracellular Constraint::xan_c --> []
2 sink_xan_c|Intracellular Constraint_reverse::[] --> xan_c
3 EX_35cgmp_e|Extracellular exchange::35cgmp_e --> []
4 EX_35cgmp_e|Extracellular exchange_reverse::[] --> 35cgmp_e
5 EX_4hphac_e|Extracellular exchange::4hphac_e --> []
6 EX_4hphac_e|Extracellular exchange_reverse::[] --> 4hphac_e
7 EX_4nph_e|Extracellular exchange::4nph_e --> []
8 EX_4nph_e|Extracellular exchange_reverse::[] --> 4nph_e
9 EX_4nphsf_e|Extracellular exchange::4nphsf_e --> []
10 EX_4nphsf_e|Extracellular exchange_reverse::[] --> 4nphsf_e
11 EX_Lcystin_e|Extracellular exchange::Lcystin_e --> []
12 EX_Lcystin_e|Extracellular exchange_reverse::[] --> Lcystin_e
13 EX_ac_e|Extracellular exchange::ac_e --> []
14 EX_ac_e|Extracellular exchange_reverse::[] --> ac_e
15 EX_ade_e|Extracellular exchange::ade_e --> []
16 EX_ade_e|Extracellular exchange_reverse::[] --> ade_e
17 EX_adn_e|Extracellular exchange::adn_e --> []
18 EX_adn_e|Extracellular exchange_reverse::[] --> adn_e
19 EX_adp_e|Extracellular exchange::adp_e --> []
20 EX_adp_e|Extracellular exchange_reverse::[] --> adp_e
21 EX_adprib_e|Extracellular exchange::adprib_e --> []
22 EX_adprib_e|Extracellular exchange_reverse::[] --> adprib_e
23 EX_adrnl_e|Extracellular exchange::adrnl_e --> []
24 EX_adrnl_e|Extracellular exchange_reverse::[] --> adrnl_e
25 EX_ala_L_e|Extracellular exchange::ala_L_e --> []
26 EX_ala_L_e|Extracellular exchange_reverse::[] --> ala_L_e
27 EX_amp_e|Extracellular exchange::amp_e --> []
28 EX_amp_e|Extracellular exchange_reverse::[] --> amp_e
29 EX_arachd_e|Extracellular exchange::arachd_e --> []
30 EX_arachd_e|Extracellular exchange_reverse::[] --> arachd_e
31 EX_arg_L_e|Extracellular exchange::arg_L_e --> []
32 EX_arg_L_e|Extracellular exchange_reverse::[] --> arg_L_e
33 EX_ascb_L_e|Extracellular exchange::ascb_L_e --> []
34 EX_ascb_L_e|Extracellular exchange_reverse::[] --> ascb_L_e
35 EX_asn_L_e|Extracellular exchange::asn_L_e --> []
36 EX_asn_L_e|Extracellular exchange_reverse::[] --> asn_L_e
37 EX_asp_L_e|Extracellular exchange::asp_L_e --> []
38 EX_asp_L_e|Extracellular exchange_reverse::[] --> asp_L_e
39 EX_bilirub_e|Extracellular exchange::bilirub_e --> []
40 EX_bilirub_e|Extracellular exchange_reverse::[] --> bilirub_e
41 EX_ca2_e|Extracellular exchange::ca2_e --> []
42 EX_ca2_e|Extracellular exchange_reverse::[] --> ca2_e
43 EX_chol_e|Extracellular exchange::chol_e --> []
44 EX_chol_e|Extracellular exchange_reverse::[] --> chol_e
45 EX_cit_e|Extracellular exchange::cit_e --> []
46 EX_cit_e|Extracellular exchange_reverse::[] --> cit_e
47 EX_co_e|Extracellular exchange::co_e --> []
48 EX_co_e|Extracellular exchange_reverse::[] --> co_e
49 EX_co2_e|Extracellular exchange::co2_e --> []
50 EX_co2_e|Extracellular exchange_reverse::[] --> co2_e
51 EX_creat_e|Extracellular exchange::creat_e --> []
52 EX_creat_e|Extracellular exchange_reverse::[] --> creat_e
53 EX_cyan_e|Extracellular exchange::cyan_e --> []
54 EX_cyan_e|Extracellular exchange_reverse::[] --> cyan_e
55 EX_cys_L_e|Extracellular exchange::cys_L_e --> []
56 EX_cys_L_e|Extracellular exchange_reverse::[] --> cys_L_e
57 EX_cytd_e|Extracellular exchange::cytd_e --> []
58 EX_cytd_e|Extracellular exchange_reverse::[] --> cytd_e
59 EX_dhdascb_e|Extracellular exchange::dhdascb_e --> []
60 EX_dhdascb_e|Extracellular exchange_reverse::[] --> dhdascb_e
61 EX_dopa_e|Extracellular exchange::dopa_e --> []
62 EX_dopa_e|Extracellular exchange_reverse::[] --> dopa_e
63 EX_dopasf_e|Extracellular exchange::dopasf_e --> []
64 EX_dopasf_e|Extracellular exchange_reverse::[] --> dopasf_e
65 EX_fe2_e|Extracellular exchange::fe2_e --> []
66 EX_fe2_e|Extracellular exchange_reverse::[] --> fe2_e
67 EX_fru_e|Extracellular exchange::fru_e --> []
68 EX_fru_e|Extracellular exchange_reverse::[] --> fru_e
69 EX_gal_e|Extracellular exchange::gal_e --> []
70 EX_gal_e|Extracellular exchange_reverse::[] --> gal_e
71 EX_gdp_e|Extracellular exchange::gdp_e --> []
72 EX_gdp_e|Extracellular exchange_reverse::[] --> gdp_e
73 EX_glc_e|Extracellular exchange::glc_D_e --> []
74 EX_glc_e|Extracellular exchange_reverse::[] --> glc_D_e
75 EX_gln_L_e|Extracellular exchange::gln_L_e --> []
76 EX_gln_L_e|Extracellular exchange_reverse::[] --> gln_L_e
77 EX_glu_L_e|Extracellular exchange::glu_L_e --> []
78 EX_glu_L_e|Extracellular exchange_reverse::[] --> glu_L_e
79 EX_gly_e|Extracellular exchange::gly_e --> []
80 EX_gly_e|Extracellular exchange_reverse::[] --> gly_e
81 EX_glyb_e|Extracellular exchange::glyb_e --> []
82 EX_glyb_e|Extracellular exchange_reverse::[] --> glyb_e
83 EX_gthox_e|Extracellular exchange::gthox_e --> []
84 EX_gthox_e|Extracellular exchange_reverse::[] --> gthox_e
85 EX_gthrd_e|Extracellular exchange::gthrd_e --> []
86 EX_gthrd_e|Extracellular exchange_reverse::[] --> gthrd_e
87 EX_h_e|Extracellular exchange::h_e --> []
88 EX_h_e|Extracellular exchange_reverse::[] --> h_e
89 EX_h2o_e|Extracellular exchange::h2o_e --> []
90 EX_h2o_e|Extracellular exchange_reverse::[] --> h2o_e
91 EX_h2o2_e|Extracellular exchange::h2o2_e --> []
92 EX_h2o2_e|Extracellular exchange_reverse::[] --> h2o2_e
93 EX_hco3_e|Extracellular exchange::hco3_e --> []
94 EX_hco3_e|Extracellular exchange_reverse::[] --> hco3_e
95 EX_hdca_e|Extracellular exchange::hdca_e --> []
96 EX_hdca_e|Extracellular exchange_reverse::[] --> hdca_e
97 EX_his_L_e|Extracellular exchange::his_L_e --> []
98 EX_his_L_e|Extracellular exchange_reverse::[] --> his_L_e
99 EX_hista_e|Extracellular exchange::hista_e --> []
100 EX_hista_e|Extracellular exchange_reverse::[] --> hista_e
101 EX_hxan_e|Extracellular exchange::hxan_e --> []
102 EX_hxan_e|Extracellular exchange_reverse::[] --> hxan_e
103 EX_ile_L_e|Extracellular exchange::ile_L_e --> []
104 EX_ile_L_e|Extracellular exchange_reverse::[] --> ile_L_e
105 EX_inost_e|Extracellular exchange::inost_e --> []
106 EX_inost_e|Extracellular exchange_reverse::[] --> inost_e
107 EX_ins_e|Extracellular exchange::ins_e --> []
108 EX_ins_e|Extracellular exchange_reverse::[] --> ins_e
109 EX_lac_L_e|Extracellular exchange::lac_L_e --> []
110 EX_lac_L_e|Extracellular exchange_reverse::[] --> lac_L_e
111 EX_leuktrF4_e|Extracellular exchange::leuktrF4_e --> []
112 EX_leuktrF4_e|Extracellular exchange_reverse::[] --> leuktrF4_e
113 EX_lnlc_e|Extracellular exchange::lnlc_e --> []
114 EX_lnlc_e|Extracellular exchange_reverse::[] --> lnlc_e
115 EX_lys_L_e|Extracellular exchange::lys_L_e --> []
116 EX_lys_L_e|Extracellular exchange_reverse::[] --> lys_L_e
117 EX_met_L_e|Extracellular exchange::met_L_e --> []
118 EX_met_L_e|Extracellular exchange_reverse::[] --> met_L_e
119 EX_na1_e|Extracellular exchange::na1_e --> []
