----Intracellular Constraint----
sink_mal_c,mal_L_c--> [],250.46182575594332
sink_txb_c,txb2_c--> [],10.000000000000002
sink_adp_creverse,[]--> adp_c,800.0000000000028
DM_atp_creverse,pi_c+h_c+adp_c--> h2o_c+atp_c,1000.0
----Extracellular exchange----
EX_Lcystin_ereverse,[]--> Lcystin_e,41.37290813761359
EX_ac_e,ac_e--> [],900.0
EX_ade_ereverse,[]--> ade_e,389.7540041657698
EX_adn_ereverse,[]--> adn_e,1000.0
EX_ala_L_e,ala_L_e--> [],333.20764203117045
EX_amp_e,amp_e--> [],700.0000000000008
EX_arg_L_ereverse,[]--> arg_L_e,383.72333548804147
EX_asp_L_ereverse,[]--> asp_L_e,50.46182575594332
EX_cit_ereverse,[]--> cit_e,1000.0
EX_co2_e,co2_e--> [],900.0
EX_cyan_ereverse,[]--> cyan_e,182.74581627522713
EX_fru_e,fru_e--> [],716.6952165481579
EX_glc_ereverse,[]--> glc_D_e,890.0
EX_gln_L_e,gln_L_e--> [],379.8638942756597
EX_glu_L_e,glu_L_e--> [],41.37290813761359
EX_gthrd_ereverse,[]--> gthrd_e,100.0
EX_h_e,h_e--> [],1000.0
EX_h2o_ereverse,[]--> h2o_e,1000.0
EX_h2o2_ereverse,[]--> h2o2_e,1000.0
EX_hco3_e,hco3_e--> [],828.2137470372764
EX_hxan_e,hxan_e--> [],589.7540041657697
EX_ins_e,ins_e--> [],900.0
EX_lac_L_e,lac_L_e--> [],900.0
EX_nh4_e,nh4_e--> [],1000.0
EX_no_e,no_e--> [],181.38763197586746
EX_o2_ereverse,[]--> o2_e,900.0
EX_o2s_ereverse,[]--> o2s_e,900.0
EX_phe_L_ereverse,[]--> phe_L_e,168.87308769661672
EX_pheacgln_e,pheacgln_e--> [],168.87308769661672
EX_pi_e,pi_e--> [],1000.0
EX_pyr_e,pyr_e--> [],535.7081807081806
EX_succ_e,succ_e--> [],900.0
EX_tcynt_e,tcynt_e--> [],182.74581627522713
EX_thym_e,thym_e--> [],900.0
EX_thymd_ereverse,[]--> thymd_e,900.0
EX_ura_ereverse,[]--> ura_e,99.99999999999996
EX_urea_e,urea_e--> [],102.335703512174
EX_uri_e,uri_e--> [],99.99999999999996
EX_val_L_ereverse,[]--> val_L_e,900.0
EX_3mob_e,3mob_c--> [],670.3296703296703
EX_acrn_e,acrn_c--> [],17.958568042601684
EX_citr_L_e,citr_L_c--> [],501.16785175608726
EX_fum_ereverse,[]--> fum_c,1000.0
EX_pmtcrn_e,pmtcrn_c--> [],10.255178994674791
----Transport_ Mitochondrial----
3MOBt2im,3mob_c+h_c--> 3mob_m+h_m,329.67032967032964
FUMtm,pi_m+fum_c--> pi_c+fum_m,1000.0
GLNtm,gln_L_c--> gln_L_m,109.89010989010991
H2O2tm,h2o2_c--> h2o2_m,472.5274725274725
O2Stmreverse,o2s_m--> o2s_c,703.2967032967032
O2tm,o2_c--> o2_m,1000.0
ORNt4mreverse,citr_L_m+h_m+orn_c--> citr_L_c+h_c+orn_m,219.78021978021982
SUCCt2mreverse,pi_c+succ_m--> pi_m+succ_c,1000.0
PYRt2mreverse,h_m+pyr_m--> pyr_c+h_c,439.56043956043965
ATPtm,atp_m+adp_c--> atp_c+adp_m,1000.0
H2Otmreverse,h2o_m--> h2o_c,1000.0
CO2tmreverse,co2_m--> co2_c,659.3406593406597
----Transport_ Lysosomal----
----Lysine Metabolism----
----Pyrimidine Catabolism----
2DR1PP,h2o_c+2dr1p_c--> drib_c+pi_c,1000.0
DURAD,56dura_c+nadp_c--> ura_c+h_c+nadph_c,1000.0
DURADreverse,ura_c+h_c+nadph_c--> 56dura_c+nadp_c,1000.0
PYNP2rreverse,ura_c+r1p_c--> uri_c+pi_c,199.99999999999997
TMDPP,thymd_c+pi_c--> 2dr1p_c+thym_c,1000.0
----Tryptophan metabolism----
HACD1m,nadh_m+h_m+aacoa_m--> nad_m+3hbcoa_m,1000.0
HACD1mreverse,nad_m+3hbcoa_m--> nadh_m+h_m+aacoa_m,1000.0
----Tyrosine metabolism----
3M4HDXPAC,3mox4hpac_c+h2o_c+nad_c--> homoval_c+nadh_c+2.0*h_c,1000.0
3M4HDXPACreverse,homoval_c+nadh_c+2.0*h_c--> 3mox4hpac_c+h2o_c+nad_c,1000.0
4HOXPACDOX_NADP,h2o_c+nadp_c+4hoxpacd_c--> 4hphac_c+2.0*h_c+nadph_c,1000.0
4HOXPACDOX_NADPreverse,4hphac_c+2.0*h_c+nadph_c--> h2o_c+nadp_c+4hoxpacd_c,1000.0
FALDH,fald_c+nad_c+gthrd_c--> nadh_c+Sfglutth_c+h_c,1000.0
FALDHreverse,nadh_c+Sfglutth_c+h_c--> fald_c+nad_c+gthrd_c,1000.0
----Valine_ Leucine_ and Isoleucine Metabolism----
3HBCOAHLm,h2o_m+3hibutcoa_m--> coa_m+3hmp_m+h_m,329.67032967032964
ACOAD9m,fad_m+ibcoa_m--> fadh2_m+2mp2coa_m,329.67032967032964
ECOAH12m,h2o_m+2mp2coa_m--> 3hibutcoa_m,329.67032967032964
HACD9m,nad_m+3hmbcoa_m--> nadh_m+h_m+2maacoa_m,1000.0
HACD9mreverse,nadh_m+h_m+2maacoa_m--> nad_m+3hmbcoa_m,1000.0
HIBDm,3hmp_m+nad_m--> nadh_m+h_m+2mop_m,1000.0
HIBDmreverse,nadh_m+h_m+2mop_m--> 3hmp_m+nad_m,670.3296703296703
MCCCrm,atp_m+hco3_m+3mb2coa_m--> 3mgcoa_m+pi_m+h_m+adp_m,1000.0
MCCCrmreverse,3mgcoa_m+pi_m+h_m+adp_m--> atp_m+hco3_m+3mb2coa_m,1000.0
MMMm,mmcoa_R_m--> succoa_m,329.6703296703296
MMTSADm,coa_m+nad_m+2mop_m--> nadh_m+mmcoa_R_m+h_m,329.67032967032964
OIVD2m,coa_m+nad_m+3mob_m--> nadh_m+ibcoa_m+co2_m,329.67032967032964
VALTA,val_L_c+akg_c--> 3mob_c+glu_L_c,1000.0
----Transport_ Extracellular----
5MTHFtreverse,5mthf_c--> 5mthf_e,313.05232349349996
5MTHFt2,oh1_c+5mthf_e--> oh1_e+5mthf_c,313.05232349349996
ACt2rreverse,ac_c+h_c--> ac_e+h_e,1000.0
ADEt,ade_e--> ade_c,489.7540041657698
ADNt,adn_e--> adn_c,200.0
ALAGLNexRreverse,gln_L_e+ala_L_c--> gln_L_c+ala_L_e,433.20764203117045
ARGtiDF,arg_L_e--> arg_L_c,483.72333548804147
ASPt6,3.0*na1_e+h_e+asp_L_e+k_c--> 3.0*na1_c+h_c+asp_L_c+k_e,150.46182575594332
CITt4_2,2.0*na1_e+cit_e--> 2.0*na1_c+cit_c,1000.0
CITt4_4,4.0*na1_e+cit_e--> 4.0*na1_c+cit_c,100.0
CLOHtex2reverse,2.0*cl_c+oh1_e--> oh1_c+2.0*cl_e,313.05232349349996
CO2treverse,co2_c--> co2_e,1000.0
CRNtuIR,crn_e--> crn_c,28.213747037276473
CYANt,cyan_e--> cyan_c,282.7458162752271
CYSTGLUex,Lcystin_e+glu_L_c--> glu_L_e+Lcystin_c,141.3729081376136
FATP5treverse,na1_e+arachd_e--> na1_c+arachd_c,10.0
FRUt1rreverse,fru_c--> fru_e,816.6952165481579
GLCt1r,glc_D_e--> glc_D_c,990.0
H2O2t,h2o2_e--> h2o2_c,1000.0
HYXNtreverse,hxan_c--> hxan_e,689.7540041657697
L_LACt2rreverse,lac_L_c+h_c--> lac_L_e+h_e,1000.0
NOtreverse,no_c--> no_e,281.38763197586746
NaKt,3.0*na1_c+h2o_c+atp_c+2.0*k_e--> 3.0*na1_e+pi_c+h_c+adp_c+2.0*k_c,75.23091287797166
O2Streverse,o2s_e--> o2s_c,1000.0
O2t,o2_e--> o2_c,1000.0
ORNtiDF,orn_e--> orn_c,17.444516268045806
PHEACGLNt,pheacgln_c--> pheacgln_e,268.8730876966167
PHEtec,phe_L_e--> phe_L_c,268.8730876966167
PIt2m_2,pi_c+2.0*h_c--> pi_m+2.0*h_m,1000.0
