----Intracellular Constraint----
EX_ca2_c_ca2_e,ca2_c--> ca2_e,5.1178158574183055
EX_ca2_c_ca2_ereverse,ca2_e--> ca2_c,10.590626149870907
sink_mal_c,mal_L_c--> [],391.5854574254169
sink_txb_c,txb2_c--> [],420.8066439852179
sink_adp_creverse,[]--> adp_c,800.0000000000035
DM_atp_creverse,pi_c+h_c+adp_c--> h2o_c+atp_c,1000.0
----Extracellular exchange----
EX_Lcystin_ereverse,[]--> Lcystin_e,91.32128815782919
EX_ac_e,ac_e--> [],848.6986539200145
EX_ade_ereverse,[]--> ade_e,900.0
EX_adn_ereverse,[]--> adn_e,271.2099659778065
EX_ala_L_e,ala_L_e--> [],374.2280337410752
EX_amp_e,amp_e--> [],799.9999999999994
EX_arachd_ereverse,[]--> arachd_e,320.8066439852104
EX_asp_L_ereverse,[]--> asp_L_e,191.5854574254168
EX_cit_ereverse,[]--> cit_e,1000.0
EX_co2_e,co2_e--> [],900.0
EX_cyan_ereverse,[]--> cyan_e,182.64257631565832
EX_fru_e,fru_e--> [],66.84984760294732
EX_glc_ereverse,[]--> glc_D_e,479.1933560147896
EX_gln_L_e,gln_L_e--> [],425.7719662589248
EX_glu_L_e,glu_L_e--> [],91.32128815782919
EX_gthrd_ereverse,[]--> gthrd_e,99.99999999999999
EX_h_e,h_e--> [],1000.0
EX_h2o_ereverse,[]--> h2o_e,1000.0
EX_h2o2_ereverse,[]--> h2o2_e,1000.0
EX_hco3_e,hco3_e--> [],680.1113221800127
EX_hxan_e,hxan_e--> [],900.0
EX_ins_e,ins_e--> [],271.2099659778065
EX_lac_L_e,lac_L_e--> [],900.0
EX_nh4_e,nh4_e--> [],722.0585766904633
EX_o2_ereverse,[]--> o2_e,900.0
EX_o2s_ereverse,[]--> o2s_e,900.0
EX_orn_ereverse,[]--> orn_e,1.0849494352409574
EX_pi_e,pi_e--> [],900.0
EX_pyr_e,pyr_e--> [],900.0
EX_succ_e,succ_e--> [],900.0
EX_tcynt_e,tcynt_e--> [],182.64257631565832
EX_thym_e,thym_e--> [],900.0
EX_thymd_ereverse,[]--> thymd_e,900.0
EX_val_L_ereverse,[]--> val_L_e,900.0
EX_3mob_e,3mob_c--> [],716.0083049815131
EX_acrn_ereverse,[]--> acrn_c,100.0
EX_citr_L_e,citr_L_c--> [],153.68555902345258
EX_fum_ereverse,[]--> fum_c,1000.0
----Transport_ Mitochondrial----
3MOBt2im,3mob_c+h_c--> 3mob_m+h_m,283.99169501848684
4ABUTtm,4abut_c--> 4abut_m,159.52732255482735
CITRtm,citr_L_m--> citr_L_c,52.60060958821163
FUMtm,pi_m+fum_c--> pi_c+fum_m,999.9999999999999
GLNtm,gln_L_c--> gln_L_m,23.379423028418394
H2O2tm,h2o2_c--> h2o2_m,460.4170163551671
O2Stmreverse,o2s_m--> o2s_c,683.2265759408417
O2tm,o2_c--> o2_m,1000.0
ORNt4mreverse,citr_L_m+h_m+orn_c--> citr_L_c+h_c+orn_m,101.08494943524096
PROtm,pro_L_c--> pro_L_m,52.60060958821163
SUCCt2mreverse,pi_c+succ_m--> pi_m+succ_c,1000.0
PYRt2mreverse,h_m+pyr_m--> pyr_c+h_c,466.8984406017325
ATPtm,atp_m+adp_c--> atp_c+adp_m,1000.0
H2Otmreverse,h2o_m--> h2o_c,1000.0
CO2tmreverse,co2_m--> co2_c,620.5839996251854
----Transport_ Lysosomal----
----Lysine Metabolism----
----Pyrimidine Catabolism----
2DR1PP,h2o_c+2dr1p_c--> drib_c+pi_c,1000.0
DURAD,56dura_c+nadp_c--> ura_c+h_c+nadph_c,1000.0
DURADreverse,ura_c+h_c+nadph_c--> 56dura_c+nadp_c,1000.0
TMDPP,thymd_c+pi_c--> 2dr1p_c+thym_c,1000.0
----Tryptophan metabolism----
HACD1m,nadh_m+h_m+aacoa_m--> nad_m+3hbcoa_m,1000.0
HACD1mreverse,nad_m+3hbcoa_m--> nadh_m+h_m+aacoa_m,1000.0
----Tyrosine metabolism----
3M4HDXPAC,3mox4hpac_c+h2o_c+nad_c--> homoval_c+nadh_c+2.0*h_c,1000.0
3M4HDXPACreverse,homoval_c+nadh_c+2.0*h_c--> 3mox4hpac_c+h2o_c+nad_c,1000.0
4HOXPACDOX_NADP,h2o_c+nadp_c+4hoxpacd_c--> 4hphac_c+2.0*h_c+nadph_c,1000.0
4HOXPACDOX_NADPreverse,4hphac_c+2.0*h_c+nadph_c--> h2o_c+nadp_c+4hoxpacd_c,1000.0
FALDH,fald_c+nad_c+gthrd_c--> nadh_c+Sfglutth_c+h_c,1000.0
FALDHreverse,nadh_c+Sfglutth_c+h_c--> fald_c+nad_c+gthrd_c,1000.0
----Valine_ Leucine_ and Isoleucine Metabolism----
3HBCOAHLm,h2o_m+3hibutcoa_m--> coa_m+3hmp_m+h_m,283.99169501848684
ACOAD9m,fad_m+ibcoa_m--> fadh2_m+2mp2coa_m,283.99169501848684
ECOAH12m,h2o_m+2mp2coa_m--> 3hibutcoa_m,283.99169501848684
HACD9m,nad_m+3hmbcoa_m--> nadh_m+h_m+2maacoa_m,1000.0
HACD9mreverse,nadh_m+h_m+2maacoa_m--> nad_m+3hmbcoa_m,1000.0
HIBDm,3hmp_m+nad_m--> nadh_m+h_m+2mop_m,1000.0
HIBDmreverse,nadh_m+h_m+2mop_m--> 3hmp_m+nad_m,716.0083049815131
MCCCrm,atp_m+hco3_m+3mb2coa_m--> 3mgcoa_m+pi_m+h_m+adp_m,1000.0
MCCCrmreverse,3mgcoa_m+pi_m+h_m+adp_m--> atp_m+hco3_m+3mb2coa_m,1000.0
MMMm,mmcoa_R_m--> succoa_m,283.99169501848684
MMTSADm,coa_m+nad_m+2mop_m--> nadh_m+mmcoa_R_m+h_m,283.99169501848684
OIVD2m,coa_m+nad_m+3mob_m--> nadh_m+ibcoa_m+co2_m,283.99169501848684
VALTA,val_L_c+akg_c--> 3mob_c+glu_L_c,1000.0
----Transport_ Extracellular----
5MTHFtreverse,5mthf_c--> 5mthf_e,155.74538209378855
5MTHFt2,oh1_c+5mthf_e--> oh1_e+5mthf_c,155.74538209378855
ACt2rreverse,ac_c+h_c--> ac_e+h_e,948.6986539200145
ADEt,ade_e--> ade_c,1000.0
ALAGLNexRreverse,gln_L_e+ala_L_c--> gln_L_c+ala_L_e,474.2280337410752
ARACHDt2,arachd_e--> arachd_c,420.8066439852104
ASPt6,3.0*na1_e+h_e+asp_L_e+k_c--> 3.0*na1_c+h_c+asp_L_c+k_e,291.5854574254168
CAATPS,h2o_c+atp_c+2.0*ca2_c--> 2.0*ca2_e+pi_c+h_e+adp_c,7.854221003644606
CITt4_2,2.0*na1_e+cit_e--> 2.0*na1_c+cit_c,1000.0
CITt4_4,4.0*na1_e+cit_e--> 4.0*na1_c+cit_c,100.0
CLOHtex2reverse,2.0*cl_c+oh1_e--> oh1_c+2.0*cl_e,155.74538209378855
CO2treverse,co2_c--> co2_e,1000.0
CRNtreverse,crn_c--> crn_e,100.0
CYANt,cyan_e--> cyan_c,282.64257631565835
CYSTGLUex,Lcystin_e+glu_L_c--> glu_L_e+Lcystin_c,191.3212881578292
FATP1t,na1_c+hdca_c--> na1_e+hdca_e,31.41266825999818
FRUt1rreverse,fru_c--> fru_e,166.8498476029473
GLCt1r,glc_D_e--> glc_D_c,579.1933560147895
H2O2t,h2o2_e--> h2o2_c,1000.0
HCO3_NAtreverse,na1_c+hco3_c--> na1_e+hco3_e,780.1113221800127
HYXNtreverse,hxan_c--> hxan_e,1000.0
