----Intracellular Constraint----
EX_ca2_c_ca2_e,ca2_c--> ca2_e,2.302002200374934
sink_mal_c,mal_L_c--> [],410.5085476913239
sink_txb_c,txb2_c--> [],813.0821217446879
sink_adp_creverse,[]--> adp_c,799.9999999999993
DM_atp_creverse,pi_c+h_c+adp_c--> h2o_c+atp_c,1000.0
----Extracellular exchange----
EX_Lcystin_ereverse,[]--> Lcystin_e,138.7738456622471
EX_ac_e,ac_e--> [],900.0
EX_ade_ereverse,[]--> ade_e,302.88584438408617
EX_adn_ereverse,[]--> adn_e,1000.0
EX_ala_L_e,ala_L_e--> [],563.5761303722651
EX_amp_e,amp_e--> [],799.9999999999995
EX_arachd_ereverse,[]--> arachd_e,100.0
EX_arg_L_ereverse,[]--> arg_L_e,85.74261064067736
EX_asp_L_ereverse,[]--> asp_L_e,386.0284390477709
EX_cit_ereverse,[]--> cit_e,1000.0
EX_co2_e,co2_e--> [],900.0
EX_cyan_ereverse,[]--> cyan_e,177.54769132449417
EX_fru_e,fru_e--> [],344.03858443840903
EX_glc_ereverse,[]--> glc_D_e,900.0
EX_gln_L_e,gln_L_e--> [],236.42386962773494
EX_glu_L_e,glu_L_e--> [],138.7738456622471
EX_gthrd_ereverse,[]--> gthrd_e,100.0
EX_h_e,h_e--> [],1000.0
EX_h2o_ereverse,[]--> h2o_e,1000.0
EX_h2o2_ereverse,[]--> h2o2_e,1000.0
EX_hco3_e,hco3_e--> [],725.0000000000001
EX_hxan_e,hxan_e--> [],402.88584438408617
EX_ins_e,ins_e--> [],900.0
EX_lac_L_e,lac_L_e--> [],900.0
EX_nh4_e,nh4_e--> [],1000.0
EX_no_e,no_e--> [],85.74261064067736
EX_o2_ereverse,[]--> o2_e,900.0
EX_o2s_ereverse,[]--> o2s_e,900.0
EX_orn_ereverse,[]--> orn_e,91.47243968685122
EX_pi_e,pi_e--> [],900.0
EX_pyr_e,pyr_e--> [],900.0
EX_succ_e,succ_e--> [],900.0
EX_tcynt_e,tcynt_e--> [],177.54769132449417
EX_thym_e,thym_e--> [],900.0
EX_thymd_ereverse,[]--> thymd_e,900.0
EX_txa2_ereverse,[]--> txa2_e,613.0821217446879
EX_ura_ereverse,[]--> ura_e,33.6938808116312
EX_uri_e,uri_e--> [],33.6938808116312
EX_val_L_ereverse,[]--> val_L_e,900.0
EX_3mob_e,3mob_c--> [],683.517095382649
EX_acrn_ereverse,[]--> acrn_c,100.0
EX_citr_L_e,citr_L_c--> [],377.21505032752856
EX_fum_ereverse,[]--> fum_c,824.4801086435532
----Transport_ Mitochondrial----
3MOBt2im,3mob_c+h_c--> 3mob_m+h_m,316.482904617351
