RID,,Rxn description,Formula,LB,UB,subSystem,Gene Rule,Bibliomic - Intracellular,Biblomic - Exchange,Proteomic,OMIM disease,Drug target,Confidence Score,Reference ID,,,,,,,,,,,,,,,,,,,,,,,,,,
1,sink_xan_c,sink xan(c),xan[c]  <=> ,-1000,1000,Intracellular Constraint,,0,1,0,0,0,3,323,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,EX_35cgmp_e,"3,5-Cyclic GMP exchange",35cgmp[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,80,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,EX_4hphac_e,4-Hydroxyphenylacetate exchange,4hphac[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,EX_4nph_e,4-Nitrophenol exchange,4nph[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,EX_4nphsf_e,4-Nitrophenyl sulfate exchange,4nphsf[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,EX_Lcystin_e,L-Cystine exchange,Lcystin[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,324,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,EX_ac_e,Acetate exchange,ac[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,325,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,EX_ade_e,Adenine exchange,ade[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,327,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,EX_adn_e,Adenosine exchange,adn[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,328,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,EX_adp_e,adp exchange,adp[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,326,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,EX_adprib_e,ADPribose exchange,adprib[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,392,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,EX_adrnl_e,Adrenaline exchange,adrnl[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,329,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,EX_ala_L_e,L-Alanine exchange,ala_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,2,330,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,EX_amp_e,AMP exchange,amp[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,331,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,EX_arachd_e,nC20:4 exchange,arachd[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,332,,,,,,,,,,,,,,,,,,,,,,,,,,1
16,EX_arg_L_e,L-Arginine exchange,arg_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,333,,,,,,,,,,,,,,,,,,,,,,,,,,1
