tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	65985	0	live	AACS	ACSF1, SUR-5	acetoacetyl-CoA synthetase	acetoacetyl-CoA synthetase|acetoacetate-CoA ligase|acyl-CoA synthetase family member 1|homolog of C. elegans supressor of ras 5 (sur-5)|protein sur-5 homolog	12q24.31	12	NC_000012.12	125065367	125143333	plus	19	614364	
9606	Homo sapiens	51166	0	live	AADAT	KAT2, KATII, KYAT2	aminoadipate aminotransferase	kynurenine/alpha-aminoadipate aminotransferase, mitochondrial|2-aminoadipate aminotransferase|2-aminoadipate transaminase|KAT/AadAT|L kynurenine/alpha aminoadipate aminotransferase|alpha-aminoadipate aminotransferase|kynurenine aminotransferase II|kynurenine--oxoglutarate aminotransferase II|kynurenine--oxoglutarate transaminase 2|kynurenine--oxoglutarate transaminase II	4q33	4	NC_000004.12	170060222	170091699	minus	18	611754	
9606	Homo sapiens	10157	0	live	AASS	LKR/SDH, LKRSDH, LORSDH	aminoadipate-semialdehyde synthase	alpha-aminoadipic semialdehyde synthase, mitochondrial|alpha-aminoadipate semialdehyde synthase|aminoadipic semialdehyde synthase|lysine-2-oxoglutarate reductase|lysine-ketoglutarate reductase /saccharopine dehydrogenase	7q31.32	7	NC_000007.14	122073544	122144290	minus	25	605113	
9606	Homo sapiens	18	0	live	ABAT	GABA-AT, GABAT, NPD009	4-aminobutyrate aminotransferase	4-aminobutyrate aminotransferase, mitochondrial|(S)-3-amino-2-methylpropionate transaminase|4-aminobutyrate transaminase|GABA aminotransferase|GABA transaminase|GABA transferase|gamma-amino-N-butyrate transaminase	16p13.2	16	NC_000016.10	8674587	8784575	plus	20	137150	
9606	Homo sapiens	10257	0	live	ABCC4	MOAT-B, MOATB, MRP4	ATP binding cassette subfamily C member 4	multidrug resistance-associated protein 4|MRP/cMOAT-related ABC transporter|bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)|canalicular multispecific organic anion transporter (ABC superfamily)|multi-specific organic anion transporter B	13q32.1	13	NC_000013.11	95019829	95301550	minus	36	605250	
9606	Homo sapiens	10057	0	live	ABCC5	ABC33, EST277145, MOAT-C, MOATC, MRP5, SMRP, pABC11	ATP binding cassette subfamily C member 5	multidrug resistance-associated protein 5|ATP-binding cassette, sub-family C (CFTR/MRP), member 5|canalicular multispecific organic anion transporter C|multi-specific organic anion transporter C	3q27.1	3	NC_000003.12	183919934	184018010	minus	36	605251	
9606	Homo sapiens	31	0	live	ACACA	ACACD, ACC, ACC1, ACCA, ACACA	acetyl-CoA carboxylase alpha	acetyl-CoA carboxylase 1|ACC-alpha|acetyl-Coenzyme A carboxylase alpha	17q12	17	NC_000017.11	37084992	37406822	minus	63	200350	
9606	Homo sapiens	32	0	live	ACACB	ACC2, ACCB, HACC275	acetyl-CoA carboxylase beta	acetyl-CoA carboxylase 2|ACC-beta|acetyl-Coenzyme A carboxylase beta	12q24.11	12	NC_000012.12	109112666	109268226	plus	56	601557	
9606	Homo sapiens	27034	0	live	ACAD8	ACAD-8, ARC42	acyl-CoA dehydrogenase family member 8	isobutyryl-CoA dehydrogenase, mitochondrial|activator-recruited cofactor 42 kDa component|acyl-Coenzyme A dehydrogenase family, member 8	11q25	11	NC_000011.10	134253532	134265858	plus	14	604773	
9606	Homo sapiens	34	0	live	ACADM	ACAD1, MCAD, MCADH	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	medium-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain|testicular tissue protein Li 7	1p31.1	1	NC_000001.11	75724347	75763679	plus	13	607008	
9606	Homo sapiens	35	0	live	ACADS	ACAD3, SCAD	acyl-CoA dehydrogenase, C-2 to C-3 short chain	short-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain|butyryl-CoA dehydrogenase|mitochondrial short-chain specific acyl-CoA dehydrogenase|unsaturated acyl-CoA reductase	12q24.31	12	NC_000012.12	120725738	120740008	plus	11	606885	
9606	Homo sapiens	36	0	live	ACADSB	2-MEBCAD, ACAD7, SBCAD	acyl-CoA dehydrogenase, short/branched chain	short/branched chain specific acyl-CoA dehydrogenase, mitochondrial|2-methyl branched chain acyl-CoA dehydrogenase|2-methylbutyryl-coenzyme A dehydrogenase|acyl-Coenzyme A dehydrogenase, short/branched chain	10q26.13	10	NC_000010.11	123008913	123058290	plus	11	600301	
9606	Homo sapiens	38	0	live	ACAT1	ACAT, MAT, T2, THIL	acetyl-CoA acetyltransferase 1	acetyl-CoA acetyltransferase, mitochondrial|acetoacetyl Coenzyme A thiolase|acetoacetyl-CoA thiolase|acetyl-Coenzyme A acetyltransferase 1|mitochondrial acetoacetyl-CoA thiolase|testicular tissue protein Li 198	11q22.3	11	NC_000011.10	108121531	108148168	plus	14	607809	
